year,country,artist,song
2021,France,Barbara Pravi,Voilà
2021,Switzerland,Gjon's Tears,Tout l'univers
2021,Iceland,Daði & Gagnamagnið,10 Years
2021,Ukraine,Go_A,Shum
2021,Finland,Blind Channel,Dark Side
2021,Malta,Destiny,Je Me Casse
2021,Lithuania,The Roop,Discoteque
2021,Russia,Manizha,Russian Woman
2021,Greece,Stefania,Last Dance
2021,Bulgaria,Victoria,Growing Up Is Getting Old
2021,Portugal,The Black Mamba,Love Is On My Side
2021,Moldova,Natalia Gordienko,Sugar
2021,Sweden,Tusse,Voices
2021,Serbia,Hurricane,Loco Loco
2021,Cyprus,Elena Tsagrinou,El Diablo
2021,Israel,Eden Alene,Set Me Free
2021,Norway,TIX,Fallen Angel
2021,Belgium,Hooverphonic,The Wrong Place
2021,Azerbaijan,Efendi,Mata Hari
2021,Albania,Anxhela Peristeri,Karma
2021,San Marino,Senhit feat. Flo Rida,Adrenalina
2021,Netherlands,Jeangu Macrooy,Birth Of A New Age
2021,Spain,Blas Cantó,Voy A Quedarme
2021,Germany,Jendrik,I Don't Feel Hate
2021,United Kingdom,James Newman,Embers
2021,Croatia,Albina,Tick
2021,Romania,Roxen,Amnesia
2021,Denmark,Fyr og Flamme,Øve os på hinanden
2021,Austria,Vincent Bueno,Amen
2021,Estonia,Uku Suviste,The Lucky One
2021,Slovenia,Ana Soklič,Amen
2021,Poland,Rafał,The Ride
2021,Australia,Montaigne,Technicolour
2021,North Macedonia,Vasil,Here I Stand
2021,Czechia,Benny Cristo,Omaga
2021,Ireland,Lesley Roy,Maps
2021,Georgia,Tornike Kipiani,You
2021,Latvia,Samanta Tīna,The Moon Is Rising
2022,Ukraine,Kalush Orchestra,Stefania
2022,United Kingdom,Sam Ryder,Space Man
2022,Spain,Chanel,SloMo
2022,Sweden,Cornelia Jakobs,Hold Me Closer
2022,Serbia,Konstrakta,In Corpore Sano
2022,Italy,Mahmood & Blanco,Brividi
2022,Moldova,Zdob și Zdub & Advahov Brothers,Trenulețul
2022,Greece,Amanda Georgiadi Tenfjord,Die Together
2022,Portugal,Maro,"Saudade, saudade"
2022,Norway,Subwoolfer,Give That Wolf a Banana
2022,Netherlands,S10,De Diepte
2022,Poland,Ochman,River
2022,Estonia,Stefan,Hope
2022,Lithuania,Monika Liu,Sentimentai
2022,Australia,Sheldon Riley,Not The Same
2022,Azerbaijan,Nadir Rustamli,Fade To Black
2022,Switzerland,Marius Bear,Boys Do Cry
2022,Romania,WRS,Llámame
2022,Belgium,Jérémie Makiese,Miss You
2022,Armenia,Rosa Linn,Snap
2022,Finland,The Rasmus,Jezebel
2022,Czechia,We Are Domi,Lights Off
2022,Iceland,Systur,Með hækkandi sól
2022,France,Alvan & Ahez,Fulenn
2022,Germany,Malik Harris,Rockstars
2022,Croatia,Mia Dimšić,Guilty Pleasure
2022,North Macedonia,Andrea,Circles
2022,Albania,Ronela Hajati,Sekret
2022,Cyprus,Andromache,Ela
2022,Israel,Michael Ben David,I.M
2022,Denmark,Reddi,The Show
2022,Latvia,Citi Zēni,Eat Your Salad
2022,San Marino,Achille Lauro,Stripper
2022,Ireland,Brooke,That's Rich
2022,Malta,Emma Muscat,I Am What I Am
2022,Austria,LUM!X & Pia Maria,Halo
2022,Montenegro,Vladana,Breathe
2022,Bulgaria,Intelligent Music Project,Intention
2022,Georgia,Circus Mircus,Lock Me In
2022,Slovenia,LPS,Disko
2023,Sweden,Loreen,Tattoo
2023,Finland,Käärijä,Cha Cha Cha
2023,Israel,Noa Kirel,Unicorn
2023,Italy,Marco Mengoni,Due vite
2023,Norway,Alessandra,Queen of Kings
2023,Ukraine,Tvorchi,Heart of Steel
2023,Belgium,Gustaph,Because of You
2023,Estonia,Alika,Bridges
2023,Australia,Voyager,Promise
2023,Czechia,Vesna,My Sister's Crown
2023,Lithuania,Monika Linkytė,Stay
2023,Cyprus,Andrew Lambrou,Break a Broken Heart
2023,Croatia,Let 3,Mama ŠČ!
2023,Armenia,Brunette,Future Lover
2023,Austria,Teya & Salena,Who The Hell Is Edgar?
2023,France,La Zarra,Évidemment
2023,Spain,Blanca Paloma,Eaea
2023,Moldova,Pasha Parfeni,Soarele și Luna
2023,Poland,Blanka,Solo
2023,Switzerland,Remo Forrer,Watergun
2023,Slovenia,Joker Out,Carpe Diem
2023,Albania,Albina & Familja Kelmendi,Duje
2023,Portugal,Mimicat,Ai Coração
2023,Serbia,Luke Black,Samo mi se spava
2023,United Kingdom,Mae Muller,I Wrote A Song
2023,Germany,Lord Of The Lost,Blood & Glitter
2023,Iceland,Diljá,Power
2023,Latvia,Sudden Lights,Aijā
2023,Georgia,Iru,Echo
2023,Greece,Victor Vernicos,What They Say
2023,Ireland,Wild Youth,We Are One
2023,Netherlands,Mia Nicolai & Dion Cooper,Burning Daylight
2023,Denmark,Reiley,Breaking My Heart
2023,Azerbaijan,TuralTuranX,Tell Me More
2023,Malta,The Busker,Dance (Our Own Party)
2023,Romania,Theodor Andrei,D.G.T. (Off and On)
2023,San Marino,Piqued Jacks,Like An Animal
